Scenario ID,Instance ID,LP Relaxation,Proposed Algorithm,Naive Heuristic,LP Time,Proposed Time,Naive Time,Proposed Gap (%),Naive Gap (%)
3,26,16756498.6996,17351264.0000,17459506.0000,0.0020,0.0001,0.0000,3.5495,4.1954
3,27,16556789.4789,17143094.0000,17250908.0000,0.0012,0.0001,0.0000,3.5412,4.1923
3,28,16709758.8386,17306319.0000,17411699.0000,0.0012,0.0001,0.0000,3.5701,4.2008
3,29,16746563.7220,17342840.0000,17448887.0000,0.0012,0.0002,0.0000,3.5606,4.1938
3,30,16780502.7961,17378841.0000,17485447.0000,0.0015,0.0001,0.0000,3.5657,4.2010
4,1,18367599.7767,19393868.0950,19580797.0461,0.0012,0.0001,0.0000,5.5874,6.6051
4,2,17800456.1811,18660869.2372,18816974.2083,0.0011,0.0001,0.0000,4.8337,5.7106
4,3,17910412.7035,18802981.4041,18965062.4589,0.0011,0.0001,0.0000,4.9835,5.8885
4,4,18317120.2256,19328626.3228,19512811.7347,0.0012,0.0001,0.0000,5.5222,6.5277
4,5,18344508.4518,19364023.9517,19549697.9005,0.0011,0.0001,0.0000,5.5576,6.5698
4,6,18525627.1303,19598108.9091,19793626.5704,0.0011,0.0001,0.0000,5.7892,6.8446
4,7,18470578.1943,19526961.4828,19719487.2610,0.0018,0.0001,0.0000,5.7193,6.7616
4,8,18170656.7624,19139331.1388,19315556.3323,0.0014,0.0001,0.0000,5.3310,6.3008
4,9,17934545.2868,18834171.3110,18997563.9601,0.0012,0.0001,0.0000,5.0162,5.9272
4,10,18499865.5105,19564813.5709,19758931.1006,0.0012,0.0001,0.0000,5.7565,6.8058
4,11,18464716.9938,19519386.2350,19711593.4599,0.0011,0.0001,0.0000,5.7118,6.7528
4,12,18547994.4165,19627017.2763,19823750.5887,0.0011,0.0001,0.0000,5.8175,6.8781
4,13,18307053.4945,19315615.6806,19499253.9705,0.0012,0.0001,0.0000,5.5091,6.5122
4,14,17781958.2943,18636961.8352,18792061.4551,0.0011,0.0001,0.0000,4.8083,5.6805
4,15,17810594.7278,18673972.6967,18830628.6929,0.0012,0.0001,0.0000,4.8476,5.7271
4,16,18073643.5957,19013947.4778,19184900.0526,0.0013,0.0001,0.0000,5.2026,6.1485
4,17,17773802.3970,18626420.8304,18781077.1811,0.0011,0.0001,0.0000,4.7971,5.6672
4,18,18025916.9089,18952263.6164,19120622.2689,0.0012,0.0001,0.0000,5.1390,6.0730
4,19,18000537.2469,18919461.9355,19086441.2157,0.0011,0.0001,0.0000,5.1050,6.0326
4,20,18021837.7161,18946991.5059,19115128.4563,0.0012,0.0001,0.0000,5.1335,6.0665
4,21,18328789.1931,19343707.7588,19528527.3735,0.0011,0.0001,0.0000,5.5373,6.5456
4,22,17964660.4289,18873093.3142,19038122.7067,0.0013,0.0001,0.0000,5.0568,5.9754
4,23,18039807.3976,18970216.2344,19139329.8283,0.0011,0.0001,0.0000,5.1575,6.0950
4,24,18440385.0139,19487938.6199,19678823.4134,0.0012,0.0001,0.0000,5.6808,6.7159
4,25,18391722.2340,19425044.9148,19613284.9098,0.0012,0.0001,0.0000,5.6184,6.6419
4,26,18486764.8413,19547881.7468,19741287.2615,0.0011,0.0001,0.0000,5.7399,6.7861
4,27,18555597.3035,19636843.5487,19833990.0743,0.0011,0.0001,0.0000,5.8271,6.8895
4,28,18442195.4579,19490278.5094,19681261.6997,0.0012,0.0001,0.0000,5.6831,6.7186
